taskpool,user,date,value
taskpoola,amrh,1/1/2017,2.181818182
taskpoola,amrh,1/2/2017,2.181818182
taskpoola,amrh,1/3/2017,2.181818182
taskpoola,amrh,1/4/2017,6.1
taskpoola,amrh,1/5/2017,8
taskpoola,amrh,1/6/2017,8.166666667
taskpoola,amrh,1/7/2017,4.666666667
taskpoola,amrh,1/8/2017,0
taskpoola,amrh,1/9/2017,0
taskpoola,amrh,1/10/2017,5.033333333
taskpoola,amrh,1/11/2017,5.816666667
taskpoola,amrh,1/12/2017,4.316666667
taskpoola,amrh,1/13/2017,6.366666667
taskpoola,amrh,1/14/2017,4.033333333
taskpoola,amrh,1/15/2017,0
taskpoola,amrh,1/16/2017,0
taskpoola,amrh,1/17/2017,5
taskpoola,amrh,1/18/2017,5.3
taskpoola,amrh,1/19/2017,6.533333333
taskpoola,amrh,1/20/2017,5.616666667
taskpoola,amrh,1/21/2017,5.566666667
taskpoola,amrh,1/22/2017,0
taskpoola,amrh,1/23/2017,0
taskpoola,amrh,1/24/2017,6.266666667
taskpoola,amrh,1/25/2017,5.633333333
taskpoola,amrh,1/26/2017,1
taskpoola,amrh,1/27/2017,0
taskpoola,amrh,1/28/2017,1.333333333
taskpoola,amrh,1/29/2017,0
taskpoola,amrh,1/30/2017,0
taskpoola,amrh,1/31/2017,6
taskpoola,amrh,2/1/2017,6.966666667
taskpoola,amrh,2/2/2017,7.133333333
taskpoola,amrh,2/3/2017,4.366666667
taskpoola,amrh,2/4/2017,8
taskpoola,amrh,2/5/2017,0
taskpoola,amrh,2/6/2017,8
taskpoola,amrh,2/7/2017,2.666666667
taskpoola,amrh,2/8/2017,4.933333333
taskpoola,amrh,2/9/2017,5.266666667
taskpoola,amrh,2/10/2017,7.75
taskpoola,amrh,2/11/2017,5.566666667
taskpoola,amrh,2/12/2017,0
taskpoola,amrh,2/13/2017,0.75
taskpoola,amrh,2/14/2017,5.5
taskpoola,amrh,2/15/2017,6.116666667
taskpoola,amrh,2/16/2017,5.666666667
taskpoola,amrh,2/17/2017,8.6
taskpoola,amrh,2/18/2017,8.3
taskpoola,amrh,2/19/2017,0
taskpoola,amrh,2/20/2017,2.35
taskpoola,amrh,2/21/2017,5.25
taskpoola,amrh,2/22/2017,6.016666667
taskpoola,amrh,2/23/2017,5.366666667
taskpoola,amrh,2/24/2017,5.083333333
taskpoola,amrh,2/25/2017,6.35
taskpoola,amrh,2/26/2017,0
taskpoola,amrh,2/27/2017,0
taskpoola,amrh,2/28/2017,6.283333333
taskpoola,amrh,3/1/2017,7.216666667
taskpoola,amrh,3/2/2017,6.016666667
taskpoola,amrh,3/3/2017,5.516666667
taskpoola,amrh,3/4/2017,6.216666667
taskpoola,amrh,3/5/2017,0
taskpoola,amrh,3/6/2017,0
taskpoola,amrh,3/7/2017,8
taskpoola,amrh,3/8/2017,8
taskpoola,amrh,3/9/2017,5.566666667
taskpoola,amrh,3/10/2017,6.683333333
taskpoola,amrh,3/11/2017,4.55
taskpoola,amrh,3/12/2017,0
taskpoola,amrh,3/13/2017,0.5
taskpoola,amrh,3/14/2017,7.766666667
taskpoola,amrh,3/15/2017,5.7
taskpoola,amrh,3/16/2017,5.933333333
taskpoola,amrh,3/17/2017,7.3
taskpoola,amrh,3/18/2017,4.4
taskpoola,amrh,3/19/2017,0
taskpoola,amrh,3/20/2017,0
taskpoola,amrh,3/21/2017,4.583333333
taskpoola,amrh,3/22/2017,4.35
taskpoola,amrh,3/23/2017,4.816666667
taskpoola,amrh,3/24/2017,8
taskpoola,amrh,3/25/2017,8
taskpoola,amrh,3/26/2017,0
taskpoola,amrh,3/27/2017,0
taskpoola,amrh,3/28/2017,5.933333333
taskpoola,amrh,3/29/2017,5.666666667
taskpoola,amrh,3/30/2017,5.566666667
taskpoola,amrh,3/31/2017,5.816666667
taskpoola,amrh,4/1/2017,4.25
taskpoola,amrh,4/2/2017,0
taskpoola,amrh,4/3/2017,0
taskpoola,amrh,4/4/2017,5.55
taskpoola,amrh,4/5/2017,4.266666667
taskpoola,amrh,4/6/2017,5.2
taskpoola,amrh,4/7/2017,6.416666667
taskpoola,amrh,4/8/2017,5.733333333
taskpoola,amrh,4/9/2017,0
taskpoola,amrh,4/10/2017,0
taskpoola,amrh,4/11/2017,7.766666667
taskpoola,amrh,4/12/2017,4.6
taskpoola,amrh,4/13/2017,5.2
taskpoola,amrh,4/14/2017,2.1
taskpoola,amrh,4/15/2017,5.75
taskpoola,amrh,4/16/2017,0
taskpoola,amrh,4/17/2017,8
taskpoola,amrh,4/18/2017,6.016666667
taskpoola,amrh,4/19/2017,5.383333333
taskpoola,amrh,4/20/2017,6.733333333
taskpoola,amrh,4/21/2017,7.166666667
taskpoola,amrh,4/22/2017,8
taskpoola,amrh,4/23/2017,0
taskpoola,amrh,4/24/2017,0
taskpoola,amrh,4/25/2017,8
taskpoola,amrh,4/26/2017,2.366666667
taskpoola,amrh,4/27/2017,8.05
taskpoola,amrh,4/28/2017,7.1
taskpoola,amrh,4/29/2017,5.7
taskpoola,amrh,4/30/2017,0
taskpoola,amrh,5/1/2017,0
taskpoola,amrh,5/2/2017,6.533333333
taskpoola,amrh,5/3/2017,5.3
taskpoola,amrh,5/4/2017,6.866666667
taskpoola,amrh,5/5/2017,7.533333333
taskpoola,amrh,5/6/2017,3.766666667
taskpoola,amrh,5/7/2017,0
taskpoola,amrh,5/8/2017,0
taskpoola,amrh,5/9/2017,5.45
taskpoola,amrh,5/10/2017,6.816666667
taskpoola,amrh,5/11/2017,6.35
taskpoola,amrh,5/12/2017,5.183333333
taskpoola,amrh,5/13/2017,5.783333333
taskpoola,amrh,5/14/2017,0
taskpoola,amrh,5/15/2017,0
taskpoola,amrh,5/16/2017,5.833333333
taskpoola,amrh,5/17/2017,8
taskpoola,amrh,5/18/2017,6.1
taskpoola,amrh,5/19/2017,7.016666667
taskpoola,amrh,5/20/2017,4.6
taskpoola,amrh,5/21/2017,0
taskpoola,amrh,5/22/2017,0
taskpoola,amrh,5/23/2017,7.583333333
taskpoola,amrh,5/24/2017,5.766666667
taskpoola,amrh,5/25/2017,5.366666667
taskpoola,amrh,5/26/2017,6.45
taskpoola,amrh,5/27/2017,7.283333333
taskpoola,amrh,5/28/2017,0
taskpoola,amrh,5/29/2017,0
taskpoola,amrh,5/30/2017,7.816666667
taskpoola,amrh,5/31/2017,9.083333333
taskpoola,amrh,6/1/2017,5.916666667
taskpoola,amrh,6/2/2017,6.283333333
taskpoola,amrh,6/3/2017,5.35
taskpoola,amrh,6/4/2017,0
taskpoola,amrh,6/5/2017,8
taskpoola,amrh,6/6/2017,4.25
taskpoola,amrh,6/7/2017,5.7
taskpoola,amrh,6/8/2017,5.583333333
taskpoola,amrh,6/9/2017,4.616666667
taskpoola,amrh,6/10/2017,7.016666667
taskpoola,amrh,6/11/2017,0
taskpoola,amrh,6/12/2017,0
taskpoola,amrh,6/13/2017,7.05
taskpoola,amrh,6/14/2017,6.516666667
taskpoola,amrh,6/15/2017,5.866666667
taskpoola,amrh,6/16/2017,6.116666667
taskpoola,amrh,6/17/2017,7.25
taskpoola,amrh,6/18/2017,0
taskpoola,amrh,6/19/2017,0
taskpoola,amrh,6/20/2017,0
taskpoola,amrh,6/21/2017,5.766666667
taskpoola,amrh,6/22/2017,5.616666667
taskpoola,amrh,6/23/2017,4.716666667
taskpoola,amrh,6/24/2017,5.283333333
taskpoola,amrh,6/25/2017,0
taskpoola,amrh,6/26/2017,0
taskpoola,amrh,6/27/2017,8
taskpoola,amrh,6/28/2017,4.883333333
taskpoola,amrh,6/29/2017,6.45
taskpoola,amrh,6/30/2017,0
taskpoola,alexanderb,1/1/2017,0
taskpoola,alexanderb,1/2/2017,8
taskpoola,alexanderb,1/3/2017,1.416666667
taskpoola,alexanderb,1/4/2017,5.966666667
