taskpool,user,date,value
taskpoola,amrh,7/1/2017,4.883333333
taskpoola,amrh,7/2/2017,0
taskpoola,amrh,7/3/2017,0
taskpoola,amrh,7/4/2017,0
taskpoola,amrh,7/5/2017,0
taskpoola,amrh,7/6/2017,8
taskpoola,amrh,7/7/2017,5.366666667
taskpoola,amrh,7/8/2017,4.266666667
taskpoola,amrh,7/9/2017,0
taskpoola,amrh,7/10/2017,0
taskpoola,amrh,7/11/2017,5.75
taskpoola,amrh,7/12/2017,8
taskpoola,amrh,7/13/2017,8.5
taskpoola,amrh,7/14/2017,6.666666667
taskpoola,amrh,7/15/2017,6.4
taskpoola,amrh,7/16/2017,0
taskpoola,amrh,7/17/2017,0
taskpoola,amrh,7/18/2017,6.116666667
taskpoola,amrh,7/19/2017,5.016666667
taskpoola,amrh,7/20/2017,9.3
taskpoola,amrh,7/21/2017,4.833333333
taskpoola,amrh,7/22/2017,4.75
taskpoola,amrh,7/23/2017,0
taskpoola,amrh,7/24/2017,0
taskpoola,amrh,7/25/2017,6.483333333
taskpoola,amrh,7/26/2017,6.016666667
taskpoola,amrh,7/27/2017,6.3
taskpoola,amrh,7/28/2017,5.2
taskpoola,amrh,7/29/2017,6.35
taskpoola,amrh,7/30/2017,0
taskpoola,amrh,7/31/2017,0
taskpoola,amrh,8/1/2017,4.1
taskpoola,amrh,8/2/2017,5.533333333
taskpoola,amrh,8/3/2017,6.783333333
taskpoola,amrh,8/4/2017,5.116666667
taskpoola,amrh,8/5/2017,5.066666667
taskpoola,amrh,8/6/2017,0
taskpoola,amrh,8/7/2017,0
taskpoola,amrh,8/8/2017,3.933333333
taskpoola,amrh,8/9/2017,5.483333333
taskpoola,amrh,8/10/2017,6.316666667
taskpoola,amrh,8/11/2017,7.183333333
taskpoola,amrh,8/12/2017,8
taskpoola,amrh,8/13/2017,0
taskpoola,amrh,8/14/2017,0
taskpoola,amrh,8/15/2017,6.666666667
taskpoola,amrh,8/16/2017,6.666666667
taskpoola,amrh,8/17/2017,6.666666667
taskpoola,amrh,8/18/2017,6.666666667
taskpoola,amrh,8/19/2017,6.666666667
taskpoola,amrh,8/20/2017,6.666666667
taskpoola,amrh,8/21/2017,6.666666667
taskpoola,amrh,8/22/2017,6.666666667
taskpoola,amrh,8/23/2017,6.666666667
taskpoola,amrh,8/24/2017,6.666666667
taskpoola,amrh,8/25/2017,6.666666667
taskpoola,amrh,8/26/2017,6.666666667
taskpoola,amrh,8/27/2017,0
taskpoola,amrh,8/28/2017,0
taskpoola,amrh,8/29/2017,6.633333333
taskpoola,amrh,8/30/2017,4.75
taskpoola,amrh,8/31/2017,5.2
taskpoola,amrh,9/1/2017,7.983333333
taskpoola,amrh,9/2/2017,5.366666667
taskpoola,amrh,9/3/2017,0
taskpoola,amrh,9/4/2017,0
taskpoola,amrh,9/5/2017,4.666666667
taskpoola,amrh,9/6/2017,7.4
taskpoola,amrh,9/7/2017,6.683333333
taskpoola,amrh,9/8/2017,6.7
taskpoola,amrh,9/9/2017,6.083333333
taskpoola,amrh,9/10/2017,0
taskpoola,amrh,9/11/2017,0
taskpoola,amrh,9/12/2017,6.7
taskpoola,amrh,9/13/2017,8.5
taskpoola,amrh,9/14/2017,5.85
taskpoola,amrh,9/15/2017,7.5
taskpoola,amrh,9/16/2017,5.716666667
taskpoola,amrh,9/17/2017,0
taskpoola,amrh,9/18/2017,0
taskpoola,amrh,9/19/2017,6.35
taskpoola,amrh,9/20/2017,5.116666667
taskpoola,amrh,9/21/2017,5.933333333
taskpoola,amrh,9/22/2017,5.45
taskpoola,amrh,9/23/2017,6.983333333
taskpoola,wouterv,7/1/2017,0.166666667
taskpoola,wouterv,7/2/2017,0
taskpoola,wouterv,7/3/2017,0
taskpoola,wouterv,7/4/2017,7.333333333
taskpoola,wouterv,7/5/2017,3.083333333
taskpoola,wouterv,7/6/2017,6.333333333
taskpoola,wouterv,7/7/2017,6.75
taskpoola,wouterv,7/8/2017,0.083333333
taskpoola,wouterv,7/9/2017,0
taskpoola,wouterv,7/10/2017,7.416666667
taskpoola,wouterv,7/11/2017,5.333333333
taskpoola,wouterv,7/12/2017,4.333333333
taskpoola,wouterv,7/13/2017,5.916666667
taskpoola,wouterv,7/14/2017,6
taskpoola,wouterv,7/15/2017,0
taskpoola,wouterv,7/16/2017,0.25
taskpoola,wouterv,7/17/2017,5.75
taskpoola,wouterv,7/18/2017,6.166666667
taskpoola,wouterv,7/19/2017,7.5
taskpoola,wouterv,7/20/2017,5.916666667
taskpoola,wouterv,7/21/2017,8.916666667
taskpoola,wouterv,7/22/2017,0.25
taskpoola,wouterv,7/23/2017,0
taskpoola,wouterv,7/24/2017,5.5
taskpoola,wouterv,7/25/2017,11.25
taskpoola,wouterv,7/26/2017,7.766666667
taskpoola,wouterv,7/27/2017,6.666666667
taskpoola,wouterv,7/28/2017,8
taskpoola,wouterv,7/29/2017,0
taskpoola,wouterv,7/30/2017,0
taskpoola,wouterv,7/31/2017,6.183333333
taskpoola,wouterv,8/1/2017,6.333333333
taskpoola,wouterv,8/2/2017,7.766666667
taskpoola,wouterv,8/3/2017,9.183333333
taskpoola,wouterv,8/4/2017,5
taskpoola,wouterv,8/5/2017,0
taskpoola,wouterv,8/6/2017,0
taskpoola,wouterv,8/7/2017,7.5
taskpoola,wouterv,8/8/2017,9.683333333
taskpoola,wouterv,8/9/2017,8.083333333
taskpoola,wouterv,8/10/2017,7
taskpoola,wouterv,8/11/2017,7.45
taskpoola,wouterv,8/12/2017,0
taskpoola,wouterv,8/13/2017,0
taskpoola,wouterv,8/14/2017,6.5
taskpoola,wouterv,8/15/2017,6.583333333
taskpoola,wouterv,8/16/2017,6.416666667
taskpoola,wouterv,8/17/2017,11.16666667
taskpoola,wouterv,8/18/2017,9.75
taskpoola,wouterv,8/19/2017,0
taskpoola,wouterv,8/20/2017,0
taskpoola,wouterv,8/21/2017,6
taskpoola,wouterv,8/22/2017,6.35
taskpoola,wouterv,8/23/2017,6
taskpoola,wouterv,8/24/2017,6.5
taskpoola,wouterv,8/25/2017,7.416666667
taskpoola,wouterv,8/26/2017,0.083333333
taskpoola,wouterv,8/27/2017,0
taskpoola,wouterv,8/28/2017,6.75
taskpoola,wouterv,8/29/2017,5.666666667
taskpoola,wouterv,8/30/2017,4.666666667
taskpoola,wouterv,8/31/2017,6.75
taskpoola,wouterv,9/1/2017,3.75
taskpoola,wouterv,9/2/2017,0
taskpoola,wouterv,9/3/2017,0
taskpoola,wouterv,9/4/2017,6.083333333
taskpoola,wouterv,9/5/2017,9.833333333
taskpoola,wouterv,9/6/2017,6.75
taskpoola,wouterv,9/7/2017,6.583333333
taskpoola,wouterv,9/8/2017,5.5
taskpoola,wouterv,9/9/2017,0
taskpoola,wouterv,9/10/2017,0.25
taskpoola,wouterv,9/11/2017,7.25
taskpoola,wouterv,9/12/2017,8.5
taskpoola,wouterv,9/13/2017,8
taskpoola,wouterv,9/14/2017,8.333333333
taskpoola,wouterv,9/15/2017,6.416666667
taskpoola,wouterv,9/16/2017,0.083333333
taskpoola,wouterv,9/17/2017,0
taskpoola,wouterv,9/18/2017,8.916666667
taskpoola,wouterv,9/19/2017,7.916666667
taskpoola,wouterv,9/20/2017,6.416666667
taskpoola,wouterv,9/21/2017,6.166666667
taskpoola,wouterv,9/22/2017,8
taskpoola,wouterv,9/23/2017,0.166666667
taskpoola,kyungjinh,7/1/2017,0
taskpoola,kyungjinh,7/2/2017,3
taskpoola,kyungjinh,7/3/2017,0
taskpoola,kyungjinh,7/4/2017,4.4
taskpoola,kyungjinh,7/5/2017,4.833333333
taskpoola,kyungjinh,7/6/2017,5.25
taskpoola,kyungjinh,7/7/2017,5.233333333
taskpoola,kyungjinh,7/8/2017,2.75
taskpoola,kyungjinh,7/9/2017,0
taskpoola,kyungjinh,7/10/2017,0
taskpoola,kyungjinh,7/11/2017,5.683333333
taskpoola,kyungjinh,7/12/2017,3.316666667
taskpoola,kyungjinh,7/13/2017,5.116666667
taskpoola,kyungjinh,7/14/2017,2.55
taskpoola,kyungjinh,7/15/2017,2.75
taskpoola,kyungjinh,7/16/2017,0
taskpoola,kyungjinh,7/17/2017,0
taskpoola,kyungjinh,7/18/2017,5.816666667
taskpoola,kyungjinh,7/19/2017,5.45
taskpoola,kyungjinh,7/20/2017,4.616666667
taskpoola,kyungjinh,7/21/2017,5.033333333
taskpoola,kyungjinh,7/22/2017,3.016666667
taskpoola,kyungjinh,7/23/2017,0.266666667
taskpoola,kyungjinh,7/24/2017,0
taskpoola,kyungjinh,7/25/2017,6.516666667
taskpoola,kyungjinh,7/26/2017,5.833333333
taskpoola,kyungjinh,7/27/2017,6
taskpoola,kyungjinh,7/28/2017,6.316666667
taskpoola,kyungjinh,7/29/2017,4.016666667
taskpoola,kyungjinh,7/30/2017,0
taskpoola,kyungjinh,7/31/2017,0
taskpoola,kyungjinh,8/1/2017,8
taskpoola,kyungjinh,8/2/2017,5.55
taskpoola,kyungjinh,8/3/2017,6.5
taskpoola,kyungjinh,8/4/2017,6.016666667
taskpoola,kyungjinh,8/5/2017,5.5
taskpoola,kyungjinh,8/6/2017,0
taskpoola,kyungjinh,8/7/2017,0
